pair,pop1.id,pop2.id,fst,mean_bray.AMF,mean_bray.ITS,mean_bray.16S,km.diff,taxon_level
B1-B1,B1,B1,0,0,0.06369119040321505,0.19084538584684466,0,Phylum
B1-B2,B1,B2,0.258282,0,0.07844381078801924,0.23048345886846525,31.2,Phylum
B1-F1,B1,F1,0.543824,0,0.11383263934027661,0.24991575325564291,1.9,Phylum
B1-F2,B1,F2,0.261133,0,0.08112889717019219,0.20062298523050967,2.3,Phylum
B1-R1,B1,R1,0.601512,0,0.08500906458032848,0.3446394588935155,9.2,Phylum
B1-R2,B1,R2,0.479374,0,0.07588186855156491,0.2009559413025842,24.2,Phylum
B1-U1,B1,U1,0.402356,0,0.06154382779810592,0.18317954870143427,10.2,Phylum
B1-U2,B1,U2,0.408897,0,0.0764931472780223,0.21076131856389885,11.9,Phylum
B2-B1,B2,B1,0.258282,0,0.07844381078801924,0.23048345886846525,31.2,Phylum
B2-B2,B2,B2,0,0,0.08095877299391417,0.20034980089413884,0,Phylum
B2-F1,B2,F1,0.515139,0,0.11208944859159066,0.33199298945369665,30.2,Phylum
B2-F2,B2,F2,0.265697,0,0.08099060688032476,0.28373791809320265,33.5,Phylum
B2-R1,B2,R1,0.568833,0,0.09562055875472888,0.4490298526379878,40.3,Phylum
B2-R2,B2,R2,0.428686,0,0.08565030221964401,0.27508852648956383,45.5,Phylum
B2-U1,B2,U1,0.378396,0,0.07338451657540271,0.1985199307428795,37.9,Phylum
B2-U2,B2,U2,0.383128,0,0.08279295812095867,0.22415004243677517,22.4,Phylum
F1-B1,F1,B1,0.543824,0,0.11383263934027661,0.24991575325564291,1.9,Phylum
F1-B2,F1,B2,0.515139,0,0.11208944859159066,0.33199298945369665,30.2,Phylum
F1-F1,F1,F1,0,0,0.12575238292562624,0.18188136212764866,0,Phylum
F1-F2,F1,F2,0.448256,0,0.10200315302343217,0.17099582551085551,3.9,Phylum
F1-R1,F1,R1,0.598703,0,0.12579920113370088,0.23777352526182788,10.8,Phylum
F1-R2,F1,R2,0.531914,0,0.11971891536970972,0.1757807538727427,3.8,Phylum
F1-U1,F1,U1,0.459241,0,0.10533567081281234,0.25153065156765736,9.7,Phylum
F1-U2,F1,U2,0.537825,0,0.10599340540689177,0.2625579203997795,11.9,Phylum
F2-B1,F2,B1,0.261133,0,0.08112889717019219,0.20062298523050967,2.3,Phylum
F2-B2,F2,B2,0.265697,0,0.08099060688032476,0.28373791809320265,33.5,Phylum
F2-F1,F2,F1,0.448256,0,0.10200315302343217,0.17099582551085551,3.9,Phylum
F2-F2,F2,F2,0,0,0.06453746226921647,0.12092468566491187,0,Phylum
F2-R1,F2,R1,0.396295,0,0.09526827802672924,0.2295307545038308,7,Phylum
F2-R2,F2,R2,0.301497,0,0.09048276716464065,0.13654690869275968,24,Phylum
F2-U1,F2,U1,0.22885,0,0.06883508721669439,0.2031394889189067,9.6,Phylum
F2-U2,F2,U2,0.387089,0,0.07280952314477272,0.21658269256782825,13.4,Phylum
R1-B1,R1,B1,0.601512,0,0.08500906458032848,0.3446394588935155,9.2,Phylum
R1-B2,R1,B2,0.568833,0,0.09562055875472888,0.4490298526379878,40.3,Phylum
R1-F1,R1,F1,0.598703,0,0.12579920113370088,0.23777352526182788,10.8,Phylum
R1-F2,R1,F2,0.396295,0,0.09526827802672924,0.2295307545038308,7,Phylum
R1-R1,R1,R1,0,0,0.09922293783950577,0.1688159794408669,0,Phylum
R1-R2,R1,R2,0.422658,0,0.09439594294743044,0.24351731114968508,25.1,Phylum
R1-U1,R1,U1,0.419481,0,0.07985758824773306,0.37171178633035507,11.2,Phylum
R1-U2,R1,U2,0.643139,0,0.0920207613098795,0.35707164576676753,19.3,Phylum
R2-B1,R2,B1,0.479374,0,0.07588186855156491,0.2009559413025842,24.2,Phylum
R2-B2,R2,B2,0.428686,0,0.08565030221964401,0.27508852648956383,45.5,Phylum
R2-F1,R2,F1,0.531914,0,0.11971891536970972,0.1757807538727427,3.8,Phylum
R2-F2,R2,F2,0.301497,0,0.09048276716464065,0.13654690869275968,24,Phylum
R2-R1,R2,R1,0.422658,0,0.09439594294743044,0.24351731114968508,25.1,Phylum
R2-R2,R2,R2,0,0,0.08031066324751547,0.12785521614568385,0,Phylum
R2-U1,R2,U1,0.321251,0,0.07386699489707912,0.19893350158063802,14.6,Phylum
R2-U2,R2,U2,0.521712,0,0.08784436726442195,0.2195621886854694,34.5,Phylum
U1-B1,U1,B1,0.402356,0,0.06154382779810592,0.18317954870143427,10.2,Phylum
U1-B2,U1,B2,0.378396,0,0.07338451657540271,0.1985199307428795,37.9,Phylum
U1-F1,U1,F1,0.459241,0,0.10533567081281234,0.25153065156765736,9.7,Phylum
U1-F2,U1,F2,0.22885,0,0.06883508721669439,0.2031394889189067,9.6,Phylum
U1-R1,U1,R1,0.419481,0,0.07985758824773306,0.37171178633035507,11.2,Phylum
U1-R2,U1,R2,0.321251,0,0.07386699489707912,0.19893350158063802,14.6,Phylum
U1-U1,U1,U1,0,0,0.05016919377924734,0.13564356813073083,0,Phylum
U1-U2,U1,U2,0.471687,0,0.06790935430175471,0.17763166422116175,21.7,Phylum
U2-B1,U2,B1,0.408897,0,0.0764931472780223,0.21076131856389885,11.9,Phylum
U2-B2,U2,B2,0.383128,0,0.08279295812095867,0.22415004243677517,22.4,Phylum
U2-F1,U2,F1,0.537825,0,0.10599340540689177,0.2625579203997795,11.9,Phylum
U2-F2,U2,F2,0.387089,0,0.07280952314477272,0.21658269256782825,13.4,Phylum
U2-R1,U2,R1,0.643139,0,0.0920207613098795,0.35707164576676753,19.3,Phylum
U2-R2,U2,R2,0.521712,0,0.08784436726442195,0.2195621886854694,34.5,Phylum
U2-U1,U2,U1,0.471687,0,0.06790935430175471,0.17763166422116175,21.7,Phylum
U2-U2,U2,U2,0,0,0.06774744367894385,0.196098950954932,0,Phylum
B1-B1,B1,B1,0,0.0388670069798886,0.32814756717437527,0.23989235545642712,0,Class
B1-B2,B1,B2,0.258282,0.05050734330666302,0.3634284927826534,0.2684503049554944,31.2,Class
B1-F1,B1,F1,0.543824,0.03659947678824337,0.3566574259554597,0.3317362246292513,1.9,Class
B1-F2,B1,F2,0.261133,0.03770628656080203,0.3053528242552509,0.27226671632718535,2.3,Class
B1-R1,B1,R1,0.601512,0.04925965072197746,0.31811648628395045,0.43738615382635976,9.2,Class
B1-R2,B1,R2,0.479374,0.06406313004344083,0.2908276775107942,0.2682546065526603,24.2,Class
B1-U1,B1,U1,0.402356,0.05328412418283947,0.370839936345706,0.25102210642313333,10.2,Class
B1-U2,B1,U2,0.408897,0.04461030281985342,0.3454372583890503,0.2642719713705663,11.9,Class
B2-B1,B2,B1,0.258282,0.05050734330666302,0.3634284927826534,0.2684503049554944,31.2,Class
B2-B2,B2,B2,0,0.04902235989281856,0.3036113093767289,0.23469784615812103,0,Class
B2-F1,B2,F1,0.515139,0.05382155982230289,0.41612331777722344,0.38336731478163877,30.2,Class
B2-F2,B2,F2,0.265697,0.04830974489743705,0.33866493180707163,0.32098546833646696,33.5,Class
B2-R1,B2,R1,0.568833,0.056842412529508904,0.38960892417376997,0.5237603995283291,40.3,Class
B2-R2,B2,R2,0.428686,0.07273394982665755,0.3618048414950937,0.30968846113123266,45.5,Class
B2-U1,B2,U1,0.378396,0.057699814111390926,0.3219525888211649,0.2567639594642151,37.9,Class
B2-U2,B2,U2,0.383128,0.06185270667347846,0.3548894079439701,0.2731305108568986,22.4,Class
F1-B1,F1,B1,0.543824,0.03659947678824337,0.3566574259554597,0.3317362246292513,1.9,Class
F1-B2,F1,B2,0.515139,0.05382155982230289,0.41612331777722344,0.38336731478163877,30.2,Class
F1-F1,F1,F1,0,0.025081390407306822,0.3110366515809735,0.2684231577958827,0,Class
F1-F2,F1,F2,0.448256,0.03260664214488369,0.3067304438034347,0.24164984859133343,3.9,Class
F1-R1,F1,R1,0.598703,0.04577243129127446,0.3055813820389254,0.3976537236026329,10.8,Class
F1-R2,F1,R2,0.531914,0.059618863999352616,0.2792373016476469,0.24596433379967758,3.8,Class
F1-U1,F1,U1,0.459241,0.05226495160899108,0.4308242665166229,0.2991171005019173,9.7,Class
F1-U2,F1,U2,0.537825,0.03486398214370577,0.3688861281067931,0.31295540716347603,11.9,Class
F2-B1,F2,B1,0.261133,0.03770628656080203,0.3053528242552509,0.27226671632718535,2.3,Class
F2-B2,F2,B2,0.265697,0.04830974489743705,0.33866493180707163,0.32098546833646696,33.5,Class
F2-F1,F2,F1,0.448256,0.03260664214488369,0.3067304438034347,0.24164984859133343,3.9,Class
F2-F2,F2,F2,0,0.03273847606032166,0.24280988687002433,0.15828594630224477,0,Class
F2-R1,F2,R1,0.396295,0.04541462879275741,0.26932324110183836,0.40638975021854024,7,Class
F2-R2,F2,R2,0.301497,0.06260520196468293,0.24452155549966986,0.17361476280762003,24,Class
F2-U1,F2,U1,0.22885,0.051139142506841026,0.34653299960160105,0.2269519429346707,9.6,Class
F2-U2,F2,U2,0.387089,0.041753431065324684,0.30882203179488027,0.2532236548011351,13.4,Class
R1-B1,R1,B1,0.601512,0.04925965072197746,0.31811648628395045,0.43738615382635976,9.2,Class
R1-B2,R1,B2,0.568833,0.056842412529508904,0.38960892417376997,0.5237603995283291,40.3,Class
R1-F1,R1,F1,0.598703,0.04577243129127446,0.3055813820389254,0.3976537236026329,10.8,Class
R1-F2,R1,F2,0.396295,0.04541462879275741,0.26932324110183836,0.40638975021854024,7,Class
R1-R1,R1,R1,0,0.05469589414065095,0.23842234544055543,0.23302641653666337,0,Class
R1-R2,R1,R2,0.422658,0.0713112844808204,0.23621911337980567,0.4271655908671236,25.1,Class
R1-U1,R1,U1,0.419481,0.0599766191959795,0.4008175778088692,0.4881721593647657,11.2,Class
R1-U2,R1,U2,0.643139,0.05394743404602032,0.32717476088812936,0.44744241098582627,19.3,Class
R2-B1,R2,B1,0.479374,0.06406313004344083,0.2908276775107942,0.2682546065526603,24.2,Class
R2-B2,R2,B2,0.428686,0.07273394982665755,0.3618048414950937,0.30968846113123266,45.5,Class
R2-F1,R2,F1,0.531914,0.059618863999352616,0.2792373016476469,0.24596433379967758,3.8,Class
R2-F2,R2,F2,0.301497,0.06260520196468293,0.24452155549966986,0.17361476280762003,24,Class
R2-R1,R2,R1,0.422658,0.0713112844808204,0.23621911337980567,0.4271655908671236,25.1,Class
R2-R2,R2,R2,0,0.07897903251084837,0.19514707691073988,0.1604806236184682,0,Class
R2-U1,R2,U1,0.321251,0.0735006085642658,0.37309377420008755,0.2247278572345305,14.6,Class
R2-U2,R2,U2,0.521712,0.06564214959948218,0.3113302566524241,0.256817418017321,34.5,Class
U1-B1,U1,B1,0.402356,0.05328412418283947,0.370839936345706,0.25102210642313333,10.2,Class
U1-B2,U1,B2,0.378396,0.057699814111390926,0.3219525888211649,0.2567639594642151,37.9,Class
U1-F1,U1,F1,0.459241,0.05226495160899108,0.4308242665166229,0.2991171005019173,9.7,Class
U1-F2,U1,F2,0.22885,0.051139142506841026,0.34653299960160105,0.2269519429346707,9.6,Class
U1-R1,U1,R1,0.419481,0.0599766191959795,0.4008175778088692,0.4881721593647657,11.2,Class
U1-R2,U1,R2,0.321251,0.0735006085642658,0.37309377420008755,0.2247278572345305,14.6,Class
U1-U1,U1,U1,0,0.06103751705393774,0.2912670180317402,0.16979554759978768,0,Class
U1-U2,U1,U2,0.471687,0.05890413592568134,0.3471690086767586,0.21514719960092177,21.7,Class
U2-B1,U2,B1,0.408897,0.04461030281985342,0.3454372583890503,0.2642719713705663,11.9,Class
U2-B2,U2,B2,0.383128,0.06185270667347846,0.3548894079439701,0.2731305108568986,22.4,Class
U2-F1,U2,F1,0.537825,0.03486398214370577,0.3688861281067931,0.31295540716347603,11.9,Class
U2-F2,U2,F2,0.387089,0.041753431065324684,0.30882203179488027,0.2532236548011351,13.4,Class
U2-R1,U2,R1,0.643139,0.05394743404602032,0.32717476088812936,0.44744241098582627,19.3,Class
U2-R2,U2,R2,0.521712,0.06564214959948218,0.3113302566524241,0.256817418017321,34.5,Class
U2-U1,U2,U1,0.471687,0.05890413592568134,0.3471690086767586,0.21514719960092177,21.7,Class
U2-U2,U2,U2,0,0.03920321705029264,0.29300199346377,0.22511235778366517,0,Class
B1-B1,B1,B1,0,0.23677503812472167,0.4884775173629695,0.37547705161507344,0,Order
B1-B2,B1,B2,0.258282,0.34443715357649773,0.5449356304654643,0.41592388755344695,31.2,Order
B1-F1,B1,F1,0.543824,0.4029414567634386,0.542618579013919,0.49314638318921,1.9,Order
B1-F2,B1,F2,0.261133,0.41114272200285085,0.49476618868951777,0.44958609452162446,2.3,Order
B1-R1,B1,R1,0.601512,0.386554929204319,0.515448452546931,0.5872467215182556,9.2,Order
B1-R2,B1,R2,0.479374,0.5024153573100991,0.4561928766730601,0.4377002431251471,24.2,Order
B1-U1,B1,U1,0.402356,0.35643471003095367,0.5698587729088835,0.41896231515555155,10.2,Order
B1-U2,B1,U2,0.408897,0.30107540614182354,0.48080671946217785,0.4128703275300673,11.9,Order
B2-B1,B2,B1,0.258282,0.34443715357649773,0.5449356304654643,0.41592388755344695,31.2,Order
B2-B2,B2,B2,0,0.20199537381783683,0.4109974730167846,0.3504464039291378,0,Order
B2-F1,B2,F1,0.515139,0.26233153633406725,0.6841618989836671,0.5230927513206214,30.2,Order
B2-F2,B2,F2,0.265697,0.25751284850422895,0.5805486948817944,0.4766427297839856,33.5,Order
B2-R1,B2,R1,0.568833,0.3143752354960722,0.6369931742655798,0.643414231662397,40.3,Order
B2-R2,B2,R2,0.428686,0.29272092388801296,0.5587362039702883,0.44878445342114,45.5,Order
B2-U1,B2,U1,0.378396,0.2887737427019301,0.4899141065325678,0.39146981716747786,37.9,Order
B2-U2,B2,U2,0.383128,0.19290484069572902,0.5448032887925807,0.39932791136566254,22.4,Order
F1-B1,F1,B1,0.543824,0.4029414567634386,0.542618579013919,0.49314638318921,1.9,Order
F1-B2,F1,B2,0.515139,0.26233153633406725,0.6841618989836671,0.5230927513206214,30.2,Order
F1-F1,F1,F1,0,0.2581417683592666,0.44268336372545464,0.34664866850658216,0,Order
F1-F2,F1,F2,0.448256,0.27115965698959826,0.48536609924966095,0.3651553433710393,3.9,Order
F1-R1,F1,R1,0.598703,0.34993224527812467,0.48301775346149217,0.4851461970241605,10.8,Order
F1-R2,F1,R2,0.531914,0.2773134519520508,0.4480543213211603,0.38254654431552665,3.8,Order
F1-U1,F1,U1,0.459241,0.3336171083361616,0.6821731565752055,0.3877462572713724,9.7,Order
F1-U2,F1,U2,0.537825,0.2503318685894589,0.5230975103812578,0.42366088661543516,11.9,Order
F2-B1,F2,B1,0.261133,0.41114272200285085,0.49476618868951777,0.44958609452162446,2.3,Order
F2-B2,F2,B2,0.265697,0.25751284850422895,0.5805486948817944,0.4766427297839856,33.5,Order
F2-F1,F2,F1,0.448256,0.27115965698959826,0.48536609924966095,0.3651553433710393,3.9,Order
F2-F2,F2,F2,0,0.26573220643090856,0.41176591963478226,0.25205628843393335,0,Order
F2-R1,F2,R1,0.396295,0.3535420517931132,0.4662142114391565,0.502979179472159,7,Order
F2-R2,F2,R2,0.301497,0.2841768522009275,0.4101729875452824,0.31436228523866516,24,Order
F2-U1,F2,U1,0.22885,0.3345439568838832,0.5673306901419605,0.3488759608104701,9.6,Order
F2-U2,F2,U2,0.387089,0.25743947589631977,0.4649230721624526,0.38781993034430984,13.4,Order
R1-B1,R1,B1,0.601512,0.386554929204319,0.515448452546931,0.5872467215182556,9.2,Order
R1-B2,R1,B2,0.568833,0.3143752354960722,0.6369931742655798,0.643414231662397,40.3,Order
R1-F1,R1,F1,0.598703,0.34993224527812467,0.48301775346149217,0.4851461970241605,10.8,Order
R1-F2,R1,F2,0.396295,0.3535420517931132,0.4662142114391565,0.502979179472159,7,Order
R1-R1,R1,R1,0,0.3289108036941051,0.42507091856681634,0.3396892445780007,0,Order
R1-R2,R1,R2,0.422658,0.37814602308364165,0.42588644617337684,0.5296363030969662,25.1,Order
R1-U1,R1,U1,0.419481,0.35630333159825306,0.628538675114894,0.566766559175183,11.2,Order
R1-U2,R1,U2,0.643139,0.3150198211753577,0.47776827961459173,0.5743239417718722,19.3,Order
R2-B1,R2,B1,0.479374,0.5024153573100991,0.4561928766730601,0.4377002431251471,24.2,Order
R2-B2,R2,B2,0.428686,0.29272092388801296,0.5587362039702883,0.44878445342114,45.5,Order
R2-F1,R2,F1,0.531914,0.2773134519520508,0.4480543213211603,0.38254654431552665,3.8,Order
R2-F2,R2,F2,0.301497,0.2841768522009275,0.4101729875452824,0.31436228523866516,24,Order
R2-R1,R2,R1,0.422658,0.37814602308364165,0.42588644617337684,0.5296363030969662,25.1,Order
R2-R2,R2,R2,0,0.24194833225340123,0.33192738619370504,0.24916930558927858,0,Order
R2-U1,R2,U1,0.321251,0.3772951018386203,0.5725907514747004,0.3501007187933976,14.6,Order
R2-U2,R2,U2,0.521712,0.30716638808560337,0.4148721848684646,0.3829216614174444,34.5,Order
U1-B1,U1,B1,0.402356,0.35643471003095367,0.5698587729088835,0.41896231515555155,10.2,Order
U1-B2,U1,B2,0.378396,0.2887737427019301,0.4899141065325678,0.39146981716747786,37.9,Order
U1-F1,U1,F1,0.459241,0.3336171083361616,0.6821731565752055,0.3877462572713724,9.7,Order
U1-F2,U1,F2,0.22885,0.3345439568838832,0.5673306901419605,0.3488759608104701,9.6,Order
U1-R1,U1,R1,0.419481,0.35630333159825306,0.628538675114894,0.566766559175183,11.2,Order
U1-R2,U1,R2,0.321251,0.3772951018386203,0.5725907514747004,0.3501007187933976,14.6,Order
U1-U1,U1,U1,0,0.33341252201218846,0.41925918752339464,0.24304935146380818,0,Order
U1-U2,U1,U2,0.471687,0.2764621619628797,0.5264644115734216,0.31601521961015694,21.7,Order
U2-B1,U2,B1,0.408897,0.30107540614182354,0.48080671946217785,0.4128703275300673,11.9,Order
U2-B2,U2,B2,0.383128,0.19290484069572902,0.5448032887925807,0.39932791136566254,22.4,Order
U2-F1,U2,F1,0.537825,0.2503318685894589,0.5230975103812578,0.42366088661543516,11.9,Order
U2-F2,U2,F2,0.387089,0.25743947589631977,0.4649230721624526,0.38781993034430984,13.4,Order
U2-R1,U2,R1,0.643139,0.3150198211753577,0.47776827961459173,0.5743239417718722,19.3,Order
U2-R2,U2,R2,0.521712,0.30716638808560337,0.4148721848684646,0.3829216614174444,34.5,Order
U2-U1,U2,U1,0.471687,0.2764621619628797,0.5264644115734216,0.31601521961015694,21.7,Order
U2-U2,U2,U2,0,0.1194707810017284,0.3538637486074613,0.3094350495490062,0,Order
B1-B1,B1,B1,0,0.3552367548701197,0.5399740616707289,0.4452399168066873,0,Family
B1-B2,B1,B2,0.258282,0.41610196732221577,0.645766120149006,0.4862768766597257,31.2,Family
B1-F1,B1,F1,0.543824,0.4676363040399805,0.7206181334848165,0.5929264239139499,1.9,Family
B1-F2,B1,F2,0.261133,0.47968911635972755,0.5937382318349138,0.5248927604023006,2.3,Family
B1-R1,B1,R1,0.601512,0.45016894884833547,0.6386849867209891,0.69840532111011,9.2,Family
